"id";"kind";"numfuses"
645006595;"sing";1
647668420;"sing";16
648733150;"sing";1
652672651;"sing";3
653879345;"sing";3
654163273;"sing";2
655618404;"sing";1
656718625;"sing";6
658635139;"sing";4
659699869;"sing";1
660374198;"sing";1
661545401;"sing";1
664242717;"sing";1
665307447;"sing";13
669530876;"sing";1
671127971;"sing";7
672121719;"sing";1
673292922;"sing";30
673328413;"sing";4
675280418;"sing";2
675848274;"sing";1
675919256;"sing";1
676913004;"sing";3
677658315;"sing";1
678616572;"sing";2
679645811;"sing";5
680639559;"sing";10
682130181;"sing";10
683017456;"sing";2
683159420;"sing";1
683727276;"sing";1
683869240;"sing";9
692280607;"sing";1
694906941;"sing";13
698917424;"sing";3
699307825;"sing";2
699875681;"sing";1
699946663;"sing";1
700514519;"sing";2
701330812;"sing";4
702253578;"sing";1
704595984;"sing";2
709174323;"sing";4
709387269;"sing";1
710806909;"sing";1
711055346;"sing";10
711410256;"sing";9
713788153;"sing";1
713823644;"sing";16
721986574;"sing";1
723335232;"sing";5
726174512;"sing";5
729226738;"sing";18
729297720;"sing";3
729581648;"sing";7
731356198;"sing";1
734195478;"sing";2
734692352;"sing";1
734905298;"sing";52
736679848;"sing";4
737602614;"sing";1
738915781;"sing";11
740619349;"sing";3
743813539;"sing";5
749279153;"sing";15
750308392;"sing";7
755135168;"sing";4
755596551;"sing";3
756377353;"sing";1
756483826;"sing";5
759500561;"sing";6
760103908;"sing";2
761736494;"sing";2
765285594;"sing";1
767521527;"sing";2
767628000;"sing";1
768302329;"sing";1
768870185;"sing";16
769367059;"sing";2
772525758;"sing";1
773342051;"sing";132
773767943;"sing";47
775223074;"sing";5
775365038;"sing";1
778452755;"sing";1
779517485;"sing";28
779836904;"sing";2
781504981;"sing";5
781575963;"sing";1
782463238;"sing";10
782782657;"sing";1
782889130;"sing";12
783882878;"sing";1
784379752;"sing";1
784734662;"sing";6
785231536;"sing";2
786438230;"sing";5
787715906;"sing";16
787999834;"sing";1
789774384;"sing";6
790058312;"sing";3
790306749;"sing";2
790697150;"sing";15
791548934;"sing";2
793217011;"sing";1
796091782;"sing";2
798789098;"sing";1
800350702;"sing";1
800634630;"sing";1
801592887;"sing";1
801628378;"sing";1
802302707;"sing";9
802338198;"sing";4
802870563;"sing";1
804716095;"sing";1
805638861;"sing";12
806774573;"sing";3
807271447;"sing";1
807519884;"sing";2
809045997;"sing";3
